|   SpT |  Teff |  logT |   Msun | logL |           lycfrac |            lyclum |    B-V |  Bt-Vt |    U-B |   V-Rc |   V-Ic |   V-Ks |    J-H |    H-K | Ks-W1 | logAge |    b-y |  #SpT |   M_J |  M_Ks |  Mbol |  i-z |  z-Y | W1-W2 |   BCv |    Mv |
|   O3V | 46000 | 4.663 |  999.0 |  5.8 |    0.515869333942 | 5.74734325441e+49 |  -0.32 |    ... |  -1.22 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... |   O3V |  .... |  .... | -9.75 |  ... |  ... |   ... | -4.05 |  -5.7 |
|   O4V | 43000 | 4.633 |  999.0 | 5.67 |    0.467202273452 | 3.85862320125e+49 |  -0.32 |    ... |  -1.20 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... |   O4V |  .... |  .... | -9.42 |  ... |  ... |   ... | -3.92 |  -5.5 |
|   O5V | 41500 | 4.618 |  999.0 | 5.58 |    0.441219705284 | 2.96198138006e+49 |  -0.32 |    ... |  -1.19 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... |   O5V |  .... |  .... |  -9.2 |  ... |  ... |   ... | -3.77 |  -5.4 |
| O5.5V | 40000 | 4.602 |  999.0 | 5.46 |    0.414171695708 | 2.10915180996e+49 |  -0.32 |    ... |  -1.18 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... | O5.5V |  .... |  .... |  -8.9 |  ... |  ... |   ... | -3.65 |  -5.2 |
|   O6V | 39000 | 4.591 |  999.0 | 5.37 |    0.395573572061 |  1.6373996489e+49 |  -0.32 |    ... |  -1.17 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... |   O6V |  .... |  .... | -8.67 |  ... |  ... |   ... | -3.57 |  -5.1 |
| O6.5V | 37300 | 4.573 |  999.0 | 5.24 |    0.362993574149 | 1.11384910685e+49 |  -0.32 |    ... |  -1.16 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... | O6.5V |  .... |  .... | -8.35 |  ... |  ... |   ... | -3.45 |  -4.9 |
|   O7V | 36500 | 4.562 |  999.0 | 5.17 |    0.347279770182 | 9.06999211101e+48 |  -0.32 |    ... |  -1.15 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... |   O7V |  .... |  .... | -8.18 |  ... |  ... |   ... | -3.38 |  -4.8 |
| O7.5V | 35000 | 4.544 |  999.0 | 5.05 |    0.317254573744 | 6.28543465575e+48 |  -0.32 |    ... |  -1.14 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... | O7.5V |  .... |  .... | -7.87 |  ... |  ... |   ... | -3.26 |  -4.6 |
|   O8V | 34500 | 4.538 |  999.0 | 4.99 |    0.307107784783 | 5.29929686535e+48 |  -0.32 |    ... |  -1.13 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... |   O8V |  .... |  .... | -7.72 |  ... |  ... |   ... | -3.22 |  -4.5 |
| O8.5V | 33000 | 4.519 |  999.0 | 4.87 |    0.276363012313 |  3.6174900201e+48 |  -0.32 |    ... |  -1.12 |    ... |  ..... |  ..... |  ..... |  ..... |   ... |    ... |  ..... | O8.5V |  .... |  .... | -7.43 |  ... |  ... |   ... | -3.13 |  -4.3 |
